 0.4558, 0.5090, 0.4809, 0.3487, 0.4495, 0.0177, 0.1384, 0.0787, 0.3936 
 0.4250, 0.5068, 0.4623, 0.3392, 0.4281, 0.0191, 0.1213, 0.0790, 0.4080 
 0.4414, 0.5085, 0.4726, 0.3437, 0.4350, 0.0188, 0.1368, 0.0816, 0.3952 
 0.4354, 0.5133, 0.4711, 0.3485, 0.4373, 0.0186, 0.1201, 0.0790, 0.4028 
 0.4436, 0.5190, 0.4783, 0.3617, 0.4384, 0.0188, 0.1372, 0.0779, 0.4000 
 0.4445, 0.5077, 0.4740, 0.3389, 0.4358, 0.0184, 0.1245, 0.0835, 0.4004 
 0.4592, 0.4899, 0.4741, 0.3449, 0.4431, 0.0173, 0.1416, 0.0815, 0.3936 
 0.4399, 0.5102, 0.4725, 0.3459, 0.4405, 0.0182, 0.1272, 0.0831, 0.3964 
 0.4451, 0.5166, 0.4782, 0.3488, 0.4381, 0.0188, 0.1245, 0.0799, 0.3984 
 0.4379, 0.5096, 0.4710, 0.3529, 0.4438, 0.0180, 0.1284, 0.0795, 0.3980 
 0.4423, 0.5001, 0.4694, 0.3534, 0.4406, 0.0182, 0.1312, 0.0805, 0.4016 
 0.4549, 0.5143, 0.4828, 0.3499, 0.4368, 0.0186, 0.1312, 0.0806, 0.4048 
 0.4379, 0.5089, 0.4708, 0.3470, 0.4407, 0.0182, 0.1288, 0.0790, 0.4008 
 0.4372, 0.5054, 0.4688, 0.3421, 0.4335, 0.0185, 0.1288, 0.0821, 0.4020 
 0.4532, 0.5081, 0.4791, 0.3549, 0.4465, 0.0177, 0.1388, 0.0775, 0.3992 
 0.4569, 0.5038, 0.4792, 0.3469, 0.4514, 0.0172, 0.1332, 0.0811, 0.3928 
 0.4339, 0.4991, 0.4643, 0.3469, 0.4259, 0.0189, 0.1161, 0.0796, 0.4123 
 0.4382, 0.5093, 0.4711, 0.3443, 0.4370, 0.0184, 0.1260, 0.0832, 0.3865 
 0.4541, 0.4997, 0.4758, 0.3413, 0.4467, 0.0174, 0.1396, 0.0802, 0.4032 
 0.4404, 0.5027, 0.4695, 0.3442, 0.4364, 0.0182, 0.1296, 0.0800, 0.4004 

