 0.4629, 0.4797, 0.4712, 0.3341, 0.4504, 0.0168, 0.1400, 0.0821, 0.3924 
 0.4260, 0.4871, 0.4545, 0.3257, 0.4309, 0.0184, 0.1221, 0.0812, 0.4103 
 0.4608, 0.4821, 0.4712, 0.3292, 0.4375, 0.0175, 0.1431, 0.0863, 0.3976 
 0.4418, 0.4782, 0.4592, 0.3323, 0.4348, 0.0177, 0.1209, 0.0844, 0.3960 
 0.4516, 0.4853, 0.4679, 0.3447, 0.4382, 0.0177, 0.1443, 0.0832, 0.4016 
 0.4506, 0.4805, 0.4651, 0.3198, 0.4342, 0.0176, 0.1264, 0.0877, 0.3964 
 0.4701, 0.4627, 0.4664, 0.3326, 0.4440, 0.0163, 0.1443, 0.0858, 0.3861 
 0.4588, 0.4852, 0.4716, 0.3372, 0.4433, 0.0172, 0.1412, 0.0875, 0.3932 
 0.4595, 0.4943, 0.4763, 0.3431, 0.4443, 0.0176, 0.1304, 0.0817, 0.4103 
 0.4438, 0.4821, 0.4622, 0.3367, 0.4378, 0.0175, 0.1328, 0.0824, 0.4032 
 0.4630, 0.4670, 0.4650, 0.3428, 0.4418, 0.0169, 0.1384, 0.0853, 0.3992 
 0.4636, 0.4842, 0.4737, 0.3344, 0.4312, 0.0179, 0.1296, 0.0869, 0.4135 
 0.4547, 0.4941, 0.4736, 0.3418, 0.4459, 0.0173, 0.1376, 0.0814, 0.4127 
 0.4575, 0.4819, 0.4694, 0.3283, 0.4382, 0.0173, 0.1364, 0.0850, 0.3980 
 0.4609, 0.4837, 0.4720, 0.3419, 0.4509, 0.0166, 0.1388, 0.0814, 0.3988 
 0.4686, 0.4713, 0.4700, 0.3371, 0.4530, 0.0161, 0.1427, 0.0836, 0.3968 
 0.4465, 0.4565, 0.4515, 0.3302, 0.4258, 0.0174, 0.1201, 0.0838, 0.4258 
 0.4508, 0.4802, 0.4650, 0.3291, 0.4422, 0.0172, 0.1356, 0.0860, 0.3932 
 0.4691, 0.4737, 0.4714, 0.3308, 0.4500, 0.0163, 0.1515, 0.0836, 0.3932 
 0.4465, 0.4712, 0.4586, 0.3302, 0.4387, 0.0170, 0.1328, 0.0862, 0.4080 

