 0.4769, 0.4750, 0.4759, 0.3244, 0.4382, 0.0169, 0.1535, 0.0656, 0.3861 
 0.3896, 0.5393, 0.4524, 0.3341, 0.3992, 0.0230, 0.0966, 0.0650, 0.3948 
 0.4754, 0.4551, 0.4650, 0.3123, 0.4294, 0.0166, 0.1559, 0.0675, 0.3924 
 0.4365, 0.4943, 0.4636, 0.3296, 0.4198, 0.0190, 0.1300, 0.0650, 0.3881 
 0.4342, 0.4972, 0.4636, 0.3448, 0.4180, 0.0195, 0.1416, 0.0656, 0.3964 
 0.4707, 0.4755, 0.4731, 0.3283, 0.4371, 0.0169, 0.1400, 0.0700, 0.3901 
 0.4697, 0.4749, 0.4723, 0.3239, 0.4258, 0.0175, 0.1352, 0.0652, 0.3769 
 0.4684, 0.4534, 0.4608, 0.3067, 0.4266, 0.0165, 0.1416, 0.0669, 0.3905 
 0.4366, 0.5262, 0.4773, 0.3414, 0.4265, 0.0199, 0.1141, 0.0649, 0.3861 
 0.4376, 0.4962, 0.4651, 0.3323, 0.4230, 0.0190, 0.1372, 0.0657, 0.3909 
 0.4763, 0.4455, 0.4604, 0.3100, 0.4265, 0.0164, 0.1408, 0.0655, 0.3821 
 0.4773, 0.4372, 0.4564, 0.3072, 0.4257, 0.0160, 0.1551, 0.0687, 0.3905 
 0.4332, 0.5065, 0.4670, 0.3304, 0.4248, 0.0191, 0.1233, 0.0643, 0.3964 
 0.4668, 0.4644, 0.4656, 0.3180, 0.4288, 0.0170, 0.1384, 0.0676, 0.3928 
 0.4646, 0.4528, 0.4586, 0.3146, 0.4314, 0.0165, 0.1388, 0.0636, 0.3877 
 0.4718, 0.4395, 0.4551, 0.3101, 0.4358, 0.0154, 0.1451, 0.0655, 0.3932 
 0.4518, 0.4410, 0.4463, 0.3077, 0.4090, 0.0173, 0.1284, 0.0668, 0.4207 
 0.4504, 0.4859, 0.4675, 0.3253, 0.4298, 0.0180, 0.1344, 0.0676, 0.3817 
 0.4558, 0.4654, 0.4605, 0.3192, 0.4325, 0.0169, 0.1404, 0.0656, 0.3944 
 0.4395, 0.4885, 0.4627, 0.3323, 0.4209, 0.0187, 0.1264, 0.0661, 0.3893 

